address,rssi,dist,battery,txPower,interval,roll
f1:96:cd:ee:25:bd,-53,50,47,6,500,-50.278360066436576
e3:6f:28:36:5a:db,-41,50,43,6,500,-50.26240018157985
ef:86:35:dd:c3:f7,-52,50,69,6,500,-50.16386993675844
f7:9c:08:9a:42:ed,-65,50,50,6,500,-50.27811504507764
d5:b1:89:8b:b8:c5,-43,50,67,6,500,-50.048550857776014
e2:51:e0:31:ee:0e,-46,50,20,6,500,-49.999481857008014
f9:b3:b2:3d:53:a5,-47,50,72,6,500,-49.819029279764464
d1:0b:14:b3:18:6a,-60,50,43,6,500,-49.88429829734998
fc:02:a0:fa:33:19,-48,50,44,6,500,-49.80230554744114
e3:6f:28:36:5a:db,-60,50,43,6,500,-50.064635219114905
d1:0b:14:b3:18:6a,-57,50,43,6,500,-50.26143152342354
f1:96:cd:ee:25:bd,-54,50,47,6,500,-50.29414890533881
f7:9c:08:9a:42:ed,-64,50,50,6,500,-50.62199625193445
d5:b1:89:8b:b8:c5,-44,50,67,6,500,-50.343164978282836
fc:02:a0:fa:33:19,-47,50,44,6,500,-50.277630619616644
e2:51:e0:31:ee:0e,-40,50,20,6,500,-50.212345643359136
f1:96:cd:ee:25:bd,-51,50,47,6,500,-50.09742863268708
e2:51:e0:31:ee:0e,-43,50,20,6,500,-50.1141559465002
d1:0b:14:b3:18:6a,-62,50,43,6,500,-50.294295825480326
fc:02:a0:fa:33:19,-49,50,44,6,500,-50.31079884087825
ef:86:35:dd:c3:f7,-49,50,69,6,500,-50.245208505644456
d5:b1:89:8b:b8:c5,-44,50,67,6,500,-50.26189382370005
f9:b3:b2:3d:53:a5,-42,50,72,6,500,-49.999535523752115
f7:9c:08:9a:42:ed,-61,50,50,6,500,-49.93353716134363
e3:6f:28:36:5a:db,-42,50,43,6,500,-49.63834310104066
f9:b3:b2:3d:53:a5,-47,50,72,6,500,-49.7370146331209
e3:6f:28:36:5a:db,-51,50,43,6,500,-49.78626497023703
e2:51:e0:31:ee:0e,-45,50,20,6,500,-49.75364809737044
fc:02:a0:fa:33:19,-47,50,44,6,500,-49.55679276611439
f7:9c:08:9a:42:ed,-64,50,50,6,500,-49.786064888907596
f1:96:cd:ee:25:bd,-42,50,47,6,500,-49.75354361090356
d1:0b:14:b3:18:6a,-57,50,43,6,500,-49.78614266408538
ef:86:35:dd:c3:f7,-52,50,69,6,500,-49.73685455788593
d5:b1:89:8b:b8:c5,-32,50,67,6,500,-49.31059114953409
e3:6f:28:36:5a:db,-51,50,43,6,500,-49.47473544035269
fc:02:a0:fa:33:19,-46,50,44,6,500,-49.442052217520434
ef:86:35:dd:c3:f7,-49,50,69,6,500,-49.294393016452396
f7:9c:08:9a:42:ed,-63,50,50,6,500,-49.54015400798233
d1:0b:14:b3:18:6a,-57,50,43,6,500,-49.999804326473466
d5:b1:89:8b:b8:c5,-44,50,67,6,500,-49.934382466251066
e2:51:e0:31:ee:0e,-44,50,20,6,500,-49.72121194115758
f9:b3:b2:3d:53:a5,-44,50,72,6,500,-49.705049684798766
f1:96:cd:ee:25:bd,-52,50,47,6,500,-49.622959061730306
fc:02:a0:fa:33:19,-47,50,44,6,500,-49.426136661636654
f7:9c:08:9a:42:ed,-60,50,50,6,500,-49.45858652048663
f1:96:cd:ee:25:bd,-53,50,47,6,500,-49.27795293255094
e3:6f:28:36:5a:db,-51,50,43,6,500,-49.2286539361573
e2:51:e0:31:ee:0e,-44,50,20,6,500,-49.04826565352898
ef:86:35:dd:c3:f7,-52,50,69,6,500,-49.08101087033308
